"X","id","instrument_id","date_of_test","data_id","age","gender","mom_ed","birth_order","productive","ageC","birth_orderC","mom_edC","genderContrast","birth_orderSplit","genderContrastC"
132,5712,4,"1989-05-01",5712,22,"M",17,1,164,-0.91674127126231,-0.588182632050134,2.01880035810206,0.5,"Early",0.504923903312444
133,5713,4,"1989-04-27",5713,19,"M",15,1,29,-3.91674127126231,-0.588182632050134,0.0188003581020588,0.5,"Early",0.504923903312444
134,5714,4,"1989-04-27",5714,20,"M",16,1,481,-2.91674127126231,-0.588182632050134,1.01880035810206,0.5,"Early",0.504923903312444
135,5715,4,"1989-05-09",5715,24,"F",16,2,210,1.08325872873769,0.411817367949866,1.01880035810206,-0.5,"Late",-0.495076096687556
136,5716,4,"1989-05-08",5716,20,"M",14,2,67,-2.91674127126231,0.411817367949866,-0.981199641897941,0.5,"Late",0.504923903312444
137,5717,4,"1989-05-01",5717,30,"F",18,3,553,7.08325872873769,1.41181736794987,3.01880035810206,-0.5,"Late",-0.495076096687556
138,5718,4,"1989-05-08",5718,18,"F",18,1,128,-4.91674127126231,-0.588182632050134,3.01880035810206,-0.5,"Early",-0.495076096687556
139,5719,4,"1989-05-01",5719,30,"M",18,2,480,7.08325872873769,0.411817367949866,3.01880035810206,0.5,"Late",0.504923903312444
140,5720,4,"1989-05-08",5720,29,"F",12,1,680,6.08325872873769,-0.588182632050134,-2.98119964189794,-0.5,"Early",-0.495076096687556
141,5721,4,"1989-05-04",5721,25,"F",11,3,526,2.08325872873769,1.41181736794987,-3.98119964189794,-0.5,"Late",-0.495076096687556
142,5722,4,"1989-05-04",5722,24,"M",13,1,203,1.08325872873769,-0.588182632050134,-1.98119964189794,0.5,"Early",0.504923903312444
143,5723,4,"1989-05-05",5723,19,"F",14,1,309,-3.91674127126231,-0.588182632050134,-0.981199641897941,-0.5,"Early",-0.495076096687556
144,5724,4,"1989-05-06",5724,19,"F",12,1,313,-3.91674127126231,-0.588182632050134,-2.98119964189794,-0.5,"Early",-0.495076096687556
145,5725,4,"1989-05-03",5725,29,"M",16,1,367,6.08325872873769,-0.588182632050134,1.01880035810206,0.5,"Early",0.504923903312444
146,5726,4,"1989-05-09",5726,30,"M",14,1,508,7.08325872873769,-0.588182632050134,-0.981199641897941,0.5,"Early",0.504923903312444
147,5727,4,"1989-05-08",5727,18,"F",13,1,90,-4.91674127126231,-0.588182632050134,-1.98119964189794,-0.5,"Early",-0.495076096687556
148,5728,4,"1989-05-05",5728,25,"F",14,2,126,2.08325872873769,0.411817367949866,-0.981199641897941,-0.5,"Late",-0.495076096687556
149,5729,4,"1989-05-05",5729,21,"F",12,3,289,-1.91674127126231,1.41181736794987,-2.98119964189794,-0.5,"Late",-0.495076096687556
150,5730,4,"1989-05-07",5730,21,"M",17,1,246,-1.91674127126231,-0.588182632050134,2.01880035810206,0.5,"Early",0.504923903312444
151,5731,4,"1989-05-05",5731,19,"F",12,2,344,-3.91674127126231,0.411817367949866,-2.98119964189794,-0.5,"Late",-0.495076096687556
152,5732,4,"1989-05-05",5732,30,"M",13,1,615,7.08325872873769,-0.588182632050134,-1.98119964189794,0.5,"Early",0.504923903312444
153,5733,4,"1989-05-01",5733,17,"F",16,1,488,-5.91674127126231,-0.588182632050134,1.01880035810206,-0.5,"Early",-0.495076096687556
154,5734,4,"1989-04-29",5734,24,"F",18,1,601,1.08325872873769,-0.588182632050134,3.01880035810206,-0.5,"Early",-0.495076096687556
155,5735,4,"1989-05-01",5735,28,"M",15,1,298,5.08325872873769,-0.588182632050134,0.0188003581020588,0.5,"Early",0.504923903312444
156,5736,4,"1989-05-04",5736,23,"F",14,2,27,0.0832587287376896,0.411817367949866,-0.981199641897941,-0.5,"Late",-0.495076096687556
157,5737,4,"1989-05-05",5737,18,"M",15,1,31,-4.91674127126231,-0.588182632050134,0.0188003581020588,0.5,"Early",0.504923903312444
158,5738,4,"1989-05-04",5738,18,"F",16,1,202,-4.91674127126231,-0.588182632050134,1.01880035810206,-0.5,"Early",-0.495076096687556
159,5739,4,"1989-05-05",5739,16,"F",12,1,42,-6.91674127126231,-0.588182632050134,-2.98119964189794,-0.5,"Early",-0.495076096687556
160,5740,4,"1989-05-05",5740,19,"F",12,1,229,-3.91674127126231,-0.588182632050134,-2.98119964189794,-0.5,"Early",-0.495076096687556
161,5741,4,"1989-04-29",5741,30,"M",17,1,595,7.08325872873769,-0.588182632050134,2.01880035810206,0.5,"Early",0.504923903312444
162,5742,4,"1989-04-29",5742,29,"F",16,1,615,6.08325872873769,-0.588182632050134,1.01880035810206,-0.5,"Early",-0.495076096687556
163,5743,4,"1989-04-26",5743,20,"M",14,1,3,-2.91674127126231,-0.588182632050134,-0.981199641897941,0.5,"Early",0.504923903312444
164,5744,4,"1989-05-10",5744,21,"F",16,3,93,-1.91674127126231,1.41181736794987,1.01880035810206,-0.5,"Late",-0.495076096687556
165,5745,4,"1989-04-27",5745,18,"M",14,3,33,-4.91674127126231,1.41181736794987,-0.981199641897941,0.5,"Late",0.504923903312444
166,5746,4,"1989-05-04",5746,26,"M",16,1,409,3.08325872873769,-0.588182632050134,1.01880035810206,0.5,"Early",0.504923903312444
167,5747,4,"1989-05-06",5747,24,"F",12,1,242,1.08325872873769,-0.588182632050134,-2.98119964189794,-0.5,"Early",-0.495076096687556
168,5748,4,"1989-05-16",5748,27,"M",12,1,381,4.08325872873769,-0.588182632050134,-2.98119964189794,0.5,"Early",0.504923903312444
169,5749,4,"1989-05-06",5749,18,"M",13,2,26,-4.91674127126231,0.411817367949866,-1.98119964189794,0.5,"Late",0.504923903312444
170,5750,4,"1989-05-03",5750,30,"M",18,1,627,7.08325872873769,-0.588182632050134,3.01880035810206,0.5,"Early",0.504923903312444
171,5751,4,"1989-05-11",5751,28,"M",12,1,256,5.08325872873769,-0.588182632050134,-2.98119964189794,0.5,"Early",0.504923903312444
172,5752,4,"1989-05-06",5752,28,"M",13,1,442,5.08325872873769,-0.588182632050134,-1.98119964189794,0.5,"Early",0.504923903312444
173,5753,4,"1989-05-16",5753,19,"F",16,1,50,-3.91674127126231,-0.588182632050134,1.01880035810206,-0.5,"Early",-0.495076096687556
174,5754,4,"1989-04-29",5754,29,"F",14,1,575,6.08325872873769,-0.588182632050134,-0.981199641897941,-0.5,"Early",-0.495076096687556
175,5755,4,"1989-04-29",5755,30,"M",17,1,584,7.08325872873769,-0.588182632050134,2.01880035810206,0.5,"Early",0.504923903312444
176,5756,4,"1989-05-03",5756,16,"F",16,1,27,-6.91674127126231,-0.588182632050134,1.01880035810206,-0.5,"Early",-0.495076096687556
177,5757,4,"1989-05-03",5757,22,"F",16,1,20,-0.91674127126231,-0.588182632050134,1.01880035810206,-0.5,"Early",-0.495076096687556
178,5758,4,"1989-05-03",5758,19,"F",18,1,471,-3.91674127126231,-0.588182632050134,3.01880035810206,-0.5,"Early",-0.495076096687556
179,5759,4,"1989-05-04",5759,19,"F",12,2,22,-3.91674127126231,0.411817367949866,-2.98119964189794,-0.5,"Late",-0.495076096687556
180,5760,4,"1989-05-10",5760,17,"M",16,4,100,-5.91674127126231,2.41181736794987,1.01880035810206,0.5,"Late",0.504923903312444
181,5761,4,"1989-05-08",5761,19,"M",16,3,26,-3.91674127126231,1.41181736794987,1.01880035810206,0.5,"Late",0.504923903312444
182,5762,4,"1989-04-29",5762,26,"F",18,2,562,3.08325872873769,0.411817367949866,3.01880035810206,-0.5,"Late",-0.495076096687556
183,5763,4,"1989-04-29",5763,16,"F",14,1,49,-6.91674127126231,-0.588182632050134,-0.981199641897941,-0.5,"Early",-0.495076096687556
184,5764,4,"1989-05-05",5764,26,"M",14,1,490,3.08325872873769,-0.588182632050134,-0.981199641897941,0.5,"Early",0.504923903312444
185,5765,4,"1989-04-30",5765,29,"M",18,1,584,6.08325872873769,-0.588182632050134,3.01880035810206,0.5,"Early",0.504923903312444
186,5766,4,"1989-05-07",5766,29,"M",14,1,173,6.08325872873769,-0.588182632050134,-0.981199641897941,0.5,"Early",0.504923903312444
187,5767,4,"1989-05-11",5767,28,"F",12,1,585,5.08325872873769,-0.588182632050134,-2.98119964189794,-0.5,"Early",-0.495076096687556
188,5768,4,"1989-05-05",5768,27,"F",18,1,519,4.08325872873769,-0.588182632050134,3.01880035810206,-0.5,"Early",-0.495076096687556
189,5769,4,"1989-04-26",5769,16,"F",12,1,182,-6.91674127126231,-0.588182632050134,-2.98119964189794,-0.5,"Early",-0.495076096687556
190,5770,4,"1989-05-10",5770,29,"M",16,4,364,6.08325872873769,2.41181736794987,1.01880035810206,0.5,"Late",0.504923903312444
191,5771,4,"1989-05-05",5771,21,"M",12,1,20,-1.91674127126231,-0.588182632050134,-2.98119964189794,0.5,"Early",0.504923903312444
192,5772,4,"1989-04-28",5772,26,"M",12,1,229,3.08325872873769,-0.588182632050134,-2.98119964189794,0.5,"Early",0.504923903312444
